순번,순위,전일대비_순위증감,신규진입여부,movieCd,영화제목,개봉일,매출액,당일매출비율,전일대비_매출증감,전일대비_매출액_증감비율,누적매출액,당일관객수,전일대비_관객증감,전일대비_관객증감비율,누적관객수,당일스크린수,showCnt,targetDt
7,7,2,OLD,20262902,다윗,2026-07-10,25396950,0.3,10659450,72.3,2674815240,2671,1064,66.2,275161,75,79,2026-08-07
8,8,0,OLD,20259781,토이 스토리 5,2026-06-17,23252890,0.3,-875310,-3.6,30169571750,2415,-250,-9.4,2935402,141,149,2026-08-07
9,9,1,OLD,20259946,모아나,2026-07-08,15308450,0.2,1500900,10.9,10804584630,1570,34,2.2,1019230,91,97,2026-08-07
10,10,5,OLD,20265254,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,16091000,0.2,4986000,44.9,195756000,454,140,44.6,5528,2,16,2026-08-07
1,1,0,OLD,20250654,오디세이,2026-08-05,5748699690,44.1,2257791820,64.7,15077727670,525657,215343,69.4,1377265,1745,5187,2026-08-08
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,5342058920,41.0,2346862880,78.4,57099167770,514137,227423,79.3,5452484,1802,6440,2026-08-08
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1182382140,9.1,798216690,207.8,2930486570,124186,82474,197.7,310241,958,2216,2026-08-08
4,4,0,OLD,20233219,호프,2026-07-15,399909800,3.1,76640340,23.7,46754739670,37846,7015,22.8,4361658,553,868,2026-08-08
5,5,2,OLD,20262902,다윗,2026-07-10,54209890,0.4,28812940,113.5,2729025130,5847,3176,118.9,281008,125,134,2026-08-08
6,6,-1,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45893200,0.4,5803450,14.5,7547825640,5077,552,12.2,758278,227,240,2026-08-08
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,46435150,0.4,10185150,28.1,459750300,4547,1042,29.7,45750,76,140,2026-08-08
8,8,0,NEW,20264635,명탐정 코난: 하이웨이의 타천사,2026-08-12,55751450,0.4,55751450,100.0,55751450,4355,4355,100.0,4355,36,37,2026-08-08
9,9,-1,OLD,20259781,토이 스토리 5,2026-06-17,20228640,0.2,-3024250,-13.0,30189800390,2067,-348,-14.4,2937469,109,112,2026-08-08
10,10,0,NEW,20255484,오케이 마담2,2026-08-12,18623700,0.1,18623700,100.0,90039700,1527,1527,100.0,9401,12,16,2026-08-08
1,1,0,OLD,20250654,오디세이,2026-08-05,5421157260,44.9,-327542430,-5.7,20498884930,497556,-28101,-5.3,1874821,1798,5118,2026-08-09
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4782490470,39.6,-559568450,-10.5,61881658240,463917,-50220,-9.8,5916401,1763,6052,2026-08-09
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1172014190,9.7,-10367950,-0.9,4102500760,123565,-621,-0.5,433806,941,2164,2026-08-09
4,4,0,OLD,20233219,호프,2026-07-15,336401020,2.8,-63508780,-15.9,47091140690,32223,-5623,-14.9,4393881,548,832,2026-08-09
5,5,0,OLD,20262902,다윗,2026-07-10,78274050,0.6,24064160,44.4,2807299180,8342,2495,42.7,289350,145,154,2026-08-09
6,6,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45058680,0.4,-834520,-1.8,7592884320,5014,-63,-1.2,763292,227,243,2026-08-09
7,7,1,OLD,20264635,명탐정 코난: 하이웨이의 타천사,2026-08-12,57231270,0.5,1479820,2.7,112982720,4473,118,2.7,8828,37,38,2026-08-09
8,8,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,40423200,0.3,-6011950,-12.9,500173500,3978,-569,-12.5,49728,79,137,2026-08-09
9,9,1,OLD,20255484,오케이 마담2,2026-08-12,25903900,0.2,7280200,39.1,115943600,2382,855,56.0,11783,12,14,2026-08-09
10,10,-1,OLD,20259781,토이 스토리 5,2026-06-17,18777850,0.2,-1450790,-7.2,30208578240,1907,-160,-7.7,2939376,99,102,2026-08-09
1,1,0,OLD,20250654,오디세이,2026-08-05,2828095070,56.2,-2593062190,-47.8,23326980000,257625,-239931,-48.2,2132446,1647,4991,2026-08-10
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,1773545300,35.2,-3008945170,-62.9,63655203540,174615,-289302,-62.4,6091016,1590,5518,2026-08-10
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,174330210,3.5,-997683980,-85.1,4276830970,19409,-104156,-84.3,453215,726,1509,2026-08-10
4,4,0,OLD,20233219,호프,2026-07-15,146372870,2.9,-190028150,-56.5,47237513560,14523,-17700,-54.9,4408404,562,949,2026-08-10
5,5,3,OLD,20264148,어떻게 해야 했을까?,2026-07-29,22904150,0.5,-17519050,-43.3,523077650,2317,-1661,-41.8,52045,70,132,2026-08-10
6,6,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,19237500,0.4,-25821180,-57.3,7612121820,2193,-2821,-56.3,765485,208,217,2026-08-10
7,7,3,OLD,20259781,토이 스토리 5,2026-06-17,10804150,0.2,-7973700,-42.5,30219382390,1112,-795,-41.7,2940488,109,112,2026-08-10
8,8,-3,OLD,20262902,다윗,2026-07-10,9168150,0.2,-69105900,-88.3,2816467330,958,-7384,-88.5,290308,65,69,2026-08-10
9,9,3,OLD,20259946,모아나,2026-07-08,7290500,0.1,748300,11.4,10828554930,826,149,22.0,1021761,67,70,2026-08-10
10,10,5,OLD,20263530,마티 슈프림,2026-07-01,2896500,0.1,-2994350,-50.8,1426494680,290,-107,-27.0,131844,18,18,2026-08-10
